@attribute color {yellow, purple}
@attribute size {large, small}
@attribute act {stretch, dip}
@attribute age {adult, child}
@attribute inflated {T, F}

@data
yellow,small,stretch,adult,T
yellow,small,stretch,adult,T
yellow,small,stretch,child,F
yellow,small,dip,adult,F
yellow,small,dip,child,F
yellow,large,stretch,adult,T
yellow,large,stretch,adult,T
yellow,large,stretch,child,F
yellow,large,dip,adult,F
yellow,large,dip,child,F
purple,small,stretch,adult,T
purple,small,stretch,adult,T
purple,small,stretch,child,F
purple,small,dip,adult,F
purple,small,dip,child,F
purple,large,stretch,adult,T
purple,large,stretch,adult,T
purple,large,stretch,child,F
purple,large,dip,adult,F
purple,large,dip,child,F
